"Scientific_Name","sig","Bioregion","conditions","speciesID","currentScientificName","combo"
"Crepis foetida","Y","MON",NA,"10005","Crepis foetida subsp. vulgaris","10005_MON"
"Crepis foetida","Y","NSS",NA,"10005","Crepis foetida subsp. vulgaris","10005_NSS"
"Crepis foetida","Z","RIV",NA,"10005","Crepis foetida subsp. vulgaris","10005_RIV"
"Crepis foetida","Y","SEH",NA,"10005","Crepis foetida subsp. vulgaris","10005_SEH"
"Styphelia angustifolia","B","NSS",NA,"10006","Styphelia angustifolia","10006_NSS"
"Eucalyptus praecox","C","BBS",NA,"10022","Eucalyptus praecox","10022_BBS"
"Eucalyptus populnea","C","BBS",NA,"10023","Eucalyptus populnea subsp. bimbil","10023_BBS"
"Eucalyptus populnea","C","NSS",NA,"10023","Eucalyptus populnea subsp. bimbil","10023_NSS"
"Eucalyptus populnea","C","RIV",NA,"10023","Eucalyptus populnea subsp. bimbil","10023_RIV"
"Brunoniella australis","A","BBS",NA,"1003","Brunoniella australis","1003_BBS"
"Brunoniella australis","A","NSS",NA,"1003","Brunoniella australis","1003_NSS"
"Vigna radiata","Z","BBS",NA,"10068","Vigna radiata var. setulosa","10068_BBS"
"Swainsona bracteata","A","BBS",NA,"10069","Swainsona bracteata","10069_BBS"
"Swainsona bracteata","A","NSS",NA,"10069","Swainsona bracteata","10069_NSS"
"Swainsona cadellii","A","BBS",NA,"10070","Swainsona cadellii","10070_BBS"
"Swainsona cadellii","A","NSS",NA,"10070","Swainsona cadellii","10070_NSS"
"Geranium molle","Z","BBS",NA,"10093","Geranium molle subsp. molle","10093_BBS"
"Geranium molle","Z","MON",NA,"10093","Geranium molle subsp. molle","10093_MON"
"Geranium molle","Z","NSS",NA,"10093","Geranium molle subsp. molle","10093_NSS"
"Geranium molle","Z","SEH",NA,"10093","Geranium molle subsp. molle","10093_SEH"
"Wahlenbergia planiflora","C","BBS",NA,"10110","Wahlenbergia planiflora","10110_BBS"
"Wahlenbergia planiflora","C","MON",NA,"10110","Wahlenbergia planiflora","10110_MON"
"Wahlenbergia planiflora","B","NSS",NA,"10110","Wahlenbergia planiflora","10110_NSS"
"Logfia gallica","Z","NSS",NA,"10113","Logfia gallica","10113_NSS"
"Logfia gallica","Z","SEH",NA,"10113","Logfia gallica","10113_SEH"
"Conyza canadensis","Y","BBS",NA,"10138","Conyza canadensis var. canadensis","10138_BBS"
"Conyza canadensis","Y","MON",NA,"10138","Conyza canadensis var. canadensis","10138_MON"
"Conyza canadensis","Y","NSS",NA,"10138","Conyza canadensis var. canadensis","10138_NSS"
"Conyza canadensis","Z","RIV",NA,"10138","Conyza canadensis var. canadensis","10138_RIV"
"Conyza canadensis","Y","SEH",NA,"10138","Conyza canadensis var. canadensis","10138_SEH"
"Acer negundo","Y","NSS",NA,"1014","Acer negundo","1014_NSS"
"Gamochaeta calviceps","Z","MON",NA,"10142","Gamochaeta calviceps","10142_MON"
"Gamochaeta calviceps","Z","NSS",NA,"10142","Gamochaeta calviceps","10142_NSS"
"Gamochaeta calviceps","Z","SEH",NA,"10142","Gamochaeta calviceps","10142_SEH"
"Craspedia paludicola","A","NSS",NA,"10151","Craspedia paludicola","10151_NSS"
"Craspedia chrysantha","A","NSS",NA,"10155","Pycnosorus chrysanthes","10155_NSS"
"Craspedia chrysantha","A","RIV",NA,"10155","Pycnosorus chrysanthes","10155_RIV"
"Agave americana","Y","NSS",NA,"1016","Agave americana","1016_NSS"
"Myriocephalus pluriflorus","B","RIV",NA,"10162","Myriocephalus pluriflorus","10162_RIV"
"Pycnosorus thompsonianus","A","BBS",NA,"10163","Pycnosorus thompsonianus","10163_BBS"
"Pycnosorus thompsonianus","A","NSS",NA,"10163","Pycnosorus thompsonianus","10163_NSS"
"Pycnosorus thompsonianus","A","RIV",NA,"10163","Pycnosorus thompsonianus","10163_RIV"
"Schkuhria pinnata","Z","BBS",NA,"10166","Schkuhria pinnata var. abrotanoides","10166_BBS"
"Schkuhria pinnata","Z","NSS",NA,"10166","Schkuhria pinnata var. abrotanoides","10166_NSS"
"Chrysanthemum coronarium","Z","NSS",NA,"10167","Chrysanthemum coronarium","10167_NSS"
"Onopordum illyricum","Y","NSS",NA,"10178","Onopordum illyricum subsp. illyricum","10178_NSS"
"Onopordum illyricum","Y","SEH",NA,"10178","Onopordum illyricum subsp. illyricum","10178_SEH"
"Leontodon taraxacoides","Z","RIV",NA,"10182","Leontodon taraxacoides subsp. taraxacoides","10182_RIV"
"Kickxia spuria","Z","NSS",NA,"10216","Kickxia spuria subsp. integrifolia","10216_NSS"
"Urochloa notochthona","B","BBS",NA,"10250","Urochloa notochthona","10250_BBS"
"Hypoxis vaginata","A","MON",NA,"10257","Hypoxis vaginata","10257_MON"
"Hypoxis vaginata","A","NSS",NA,"10257","Hypoxis vaginata","10257_NSS"
"Hypoxis vaginata","A","SEH",NA,"10257","Hypoxis vaginata","10257_SEH"
"Arthropodium species A","A","BBS",NA,"10260","Arthropodium sp. A","10260_BBS"
"Arthropodium sp. A","A","NSS",NA,"10260","Arthropodium sp. A","10260_NSS"
"Muscari armeniacum","Z","NSS",NA,"10263","Muscari armeniacum","10263_NSS"
"Muscari armeniacum","Z","SEH",NA,"10263","Muscari armeniacum","10263_SEH"
"Diuris semilunulata","A","MON",NA,"10273","Diuris semilunulata","10273_MON"
"Diuris semilunulata","A","NSS",NA,"10273","Diuris semilunulata","10273_NSS"
"Diuris semilunulata","A","SEH",NA,"10273","Diuris semilunulata","10273_SEH"
"Thelymitra rubra","A","NSS",NA,"10277","Thelymitra rubra","10277_NSS"
"Thelymitra rubra","A","SEH",NA,"10277","Thelymitra rubra","10277_SEH"
"Chiloglottis valida","A","MON",NA,"10289","Chiloglottis valida","10289_MON"
"Dillwynia glaucula","A","MON",NA,"10323","Dillwynia glaucula","10323_MON"
"Dillwynia glaucula","A","SEH",NA,"10323","Dillwynia glaucula","10323_SEH"
"Bromus alopecuros","Z","NSS",NA,"10328","Bromus alopecuros","10328_NSS"
"Bromus alopecuros","Z","RIV",NA,"10328","Bromus alopecuros","10328_RIV"
"Centrolepis aristata","C","NSS",NA,"10339","Centrolepis aristata","10339_NSS"
"Bothriochloa bladhii","C","BBS",NA,"10346","Bothriochloa bladhii subsp. bladhii","10346_BBS"
"Oryza sativa","Z","RIV",NA,"10352","Oryza sativa","10352_RIV"
"Austrostipa elegantissima","A","BBS",NA,"10367","Austrostipa elegantissima","10367_BBS"
"Austrostipa elegantissima","C","NSS",NA,"10367","Austrostipa elegantissima","10367_NSS"
"Austrostipa elegantissima","A","RIV",NA,"10367","Austrostipa elegantissima","10367_RIV"
"Austrostipa tuckeri","A","BBS",NA,"10368","Austrostipa tuckeri","10368_BBS"
"Austrostipa platychaeta","C","NSS",NA,"10369","Austrostipa platychaeta","10369_NSS"
"Austrostipa platychaeta","C","RIV",NA,"10369","Austrostipa platychaeta","10369_RIV"
"Austrostipa verticillata","C","BBS",NA,"10371","Austrostipa verticillata","10371_BBS"
"Austrostipa verticillata","C","NSS",NA,"10371","Austrostipa verticillata","10371_NSS"
"Austrostipa verticillata","B","RIV",NA,"10371","Austrostipa verticillata","10371_RIV"
"Austrostipa verticillata","C","SEH",NA,"10371","Austrostipa verticillata","10371_SEH"
"Austrostipa drummondii","C","NSS",NA,"10373","Austrostipa drummondii","10373_NSS"
"Austrostipa drummondii","C","RIV",NA,"10373","Austrostipa drummondii","10373_RIV"
"Austrostipa trichophylla","B","RIV",NA,"10374","Austrostipa trichophylla","10374_RIV"
"Austrostipa nitida","C","BBS",NA,"10375","Austrostipa nitida","10375_BBS"
"Austrostipa nitida","C","NSS",NA,"10375","Austrostipa nitida","10375_NSS"
"Austrostipa nitida","C","RIV",NA,"10375","Austrostipa nitida","10375_RIV"
"Austrostipa nodosa","C","BBS",NA,"10376","Austrostipa nodosa","10376_BBS"
"Austrostipa nodosa","C","MON",NA,"10376","Austrostipa nodosa","10376_MON"
"Austrostipa nodosa","C","NSS",NA,"10376","Austrostipa nodosa","10376_NSS"
"Austrostipa nodosa","C","RIV",NA,"10376","Austrostipa nodosa","10376_RIV"
"Austrostipa nodosa","C","SEH",NA,"10376","Austrostipa nodosa","10376_SEH"
"Austrostipa scabra","C","BBS",NA,"10377","Austrostipa scabra","10377_BBS"
"Austrostipa scabra","C","MON",NA,"10377","Austrostipa scabra","10377_MON"
"Austrostipa scabra","C","NSS",NA,"10377","Austrostipa scabra","10377_NSS"
"Austrostipa scabra","C","RIV",NA,"10377","Austrostipa scabra","10377_RIV"
"Austrostipa scabra","C","SEH",NA,"10377","Austrostipa scabra","10377_SEH"
"Austrostipa setacea","C","BBS",NA,"10382","Austrostipa setacea","10382_BBS"
"Austrostipa setacea","C","NSS",NA,"10382","Austrostipa setacea","10382_NSS"
"Austrostipa setacea","C","RIV",NA,"10382","Austrostipa setacea","10382_RIV"
"Austrostipa blackii","B","BBS",NA,"10383","Austrostipa blackii","10383_BBS"
"Austrostipa blackii","C","MON",NA,"10383","Austrostipa blackii","10383_MON"
"Austrostipa blackii","C","NSS",NA,"10383","Austrostipa blackii","10383_NSS"
"Austrostipa blackii","C","RIV",NA,"10383","Austrostipa blackii","10383_RIV"
"Austrostipa blackii","C","SEH",NA,"10383","Austrostipa blackii","10383_SEH"
"Austrostipa aristiglumis","B","BBS","cover of 25% or greater; C/A score of 5 or higher","10384","Austrostipa aristiglumis","10384_BBS"
"Austrostipa aristiglumis","C","BBS","cover of less than 25%; C/A score of 4 or lower","10384","Austrostipa aristiglumis","10384_BBS"
"Austrostipa aristiglumis","C","NSS",NA,"10384","Austrostipa aristiglumis","10384_NSS"
"Austrostipa aristiglumis","A","RIV","cover of 25% or greater; C/A score of 5 or higher","10384","Austrostipa aristiglumis","10384_RIV"
"Austrostipa aristiglumis","B","RIV","cover of less than 25%; C/A score of 4 or lower","10384","Austrostipa aristiglumis","10384_RIV"
"Austrostipa gibbosa","C","NSS",NA,"10385","Austrostipa gibbosa","10385_NSS"
"Austrostipa gibbosa","A","RIV",NA,"10385","Austrostipa gibbosa","10385_RIV"
"Austrostipa bigeniculata","C","BBS",NA,"10386","Austrostipa bigeniculata","10386_BBS"
"Austrostipa bigeniculata","C","MON",NA,"10386","Austrostipa bigeniculata","10386_MON"
"Austrostipa bigeniculata","C","NSS",NA,"10386","Austrostipa bigeniculata","10386_NSS"
"Austrostipa bigeniculata","C","RIV",NA,"10386","Austrostipa bigeniculata","10386_RIV"
"Austrostipa bigeniculata","C","SEH",NA,"10386","Austrostipa bigeniculata","10386_SEH"
"Austrostipa stuposa","C","MON",NA,"10387","Austrostipa stuposa","10387_MON"
"Austrostipa stuposa","C","RIV",NA,"10387","Austrostipa stuposa","10387_RIV"
"Austrostipa wakoolica","A","NSS",NA,"10388","Austrostipa wakoolica","10388_NSS"
"Austrostipa wakoolica","A","RIV",NA,"10388","Austrostipa wakoolica","10388_RIV"
"Austrostipa metatoris","A","RIV",NA,"10389","Austrostipa metatoris","10389_RIV"
"Austrostipa puberula","C","NSS",NA,"10391","Austrostipa puberula","10391_NSS"
"Austrostipa puberula","C","RIV",NA,"10391","Austrostipa puberula","10391_RIV"
"Austrostipa mollis","C","BBS",NA,"10393","Austrostipa mollis","10393_BBS"
"Austrostipa mollis","C","MON",NA,"10393","Austrostipa mollis","10393_MON"
"Austrostipa mollis","C","NSS",NA,"10393","Austrostipa mollis","10393_NSS"
"Austrostipa mollis","C","RIV",NA,"10393","Austrostipa mollis","10393_RIV"
"Austrostipa semibarbata","C","RIV",NA,"10394","Austrostipa semibarbata","10394_RIV"
"Austrostipa densiflora","B","BBS",NA,"10395","Austrostipa densiflora","10395_BBS"
"Austrostipa densiflora","C","MON",NA,"10395","Austrostipa densiflora","10395_MON"
"Austrostipa densiflora","C","NSS",NA,"10395","Austrostipa densiflora","10395_NSS"
"Austrostipa densiflora","C","RIV",NA,"10395","Austrostipa densiflora","10395_RIV"
"Austrostipa densiflora","C","SEH",NA,"10395","Austrostipa densiflora","10395_SEH"
"Austrostipa rudis","C","BBS",NA,"10396","Austrostipa rudis","10396_BBS"
"Austrostipa rudis","C","NSS",NA,"10396","Austrostipa rudis","10396_NSS"
"Austrostipa rudis","C","SEH",NA,"10396","Austrostipa rudis","10396_SEH"
"Brachyscome basaltica","A","NSS",NA,"10401","Brachyscome basaltica var. gracilis","10401_NSS"
"Brachyscome basaltica","A","RIV",NA,"10401","Brachyscome basaltica var. gracilis","10401_RIV"
"Brachyscome perpusilla","A","NSS",NA,"10409","Brachyscome perpusilla var. tenella","10409_NSS"
"Brachyscome perpusilla","B","RIV",NA,"10409","Brachyscome perpusilla var. tenella","10409_RIV"
"Brachyscome radicans","A","MON",NA,"10411","Brachyscome radicans","10411_MON"
"Brachyscome radicans","A","SEH",NA,"10411","Brachyscome radicans","10411_SEH"
"Cheilanthes sieberi","C","BBS",NA,"10439","Cheilanthes sieberi","10439_BBS"
"Cheilanthes sieberi","A","MON",NA,"10439","Cheilanthes sieberi","10439_MON"
"Cheilanthes sieberi","B","NSS",NA,"10439","Cheilanthes sieberi","10439_NSS"
"Cheilanthes sieberi","A","RIV",NA,"10439","Cheilanthes sieberi","10439_RIV"
"Cheilanthes sieberi","A","SEH",NA,"10439","Cheilanthes sieberi","10439_SEH"
"Damasonium minus","C","RIV",NA,"1044","Damasonium minus","1044_RIV"
"Conyza sumatrensis","Y","BBS",NA,"10442","Conyza sumatrensis","10442_BBS"
"Conyza albida","Y","MON",NA,"10442","Conyza sumatrensis","10442_MON"
"Conyza albida","Y","NSS",NA,"10442","Conyza sumatrensis","10442_NSS"
"Conyza albida","Z","RIV",NA,"10442","Conyza sumatrensis","10442_RIV"
"Conyza albida","Y","SEH",NA,"10442","Conyza sumatrensis","10442_SEH"
"Olearia sp. aff. elliptica","B","BBS",NA,"10480","Olearia elliptica subsp. elliptica","10480_BBS"
"Ophioglossum lusitanicum","A","BBS",NA,"10482","Ophioglossum lusitanicum","10482_BBS"
"Ophioglossum lusitanicum","A","MON",NA,"10482","Ophioglossum lusitanicum","10482_MON"
"Ophioglossum lusitanicum","A","NSS",NA,"10482","Ophioglossum lusitanicum","10482_NSS"
"Ophioglossum lusitanicum","A","RIV",NA,"10482","Ophioglossum lusitanicum","10482_RIV"
"Ophioglossum lusitanicum","A","SEH",NA,"10482","Ophioglossum lusitanicum","10482_SEH"
"Pellaea nana","B","BBS",NA,"10488","Pellaea nana","10488_BBS"
"Pellaea nana","A","NSS",NA,"10488","Pellaea nana","10488_NSS"
"Alternanthera nodiflora","C","BBS",NA,"1049","Alternanthera nodiflora","1049_BBS"
"Alternanthera nodiflora","C","RIV",NA,"1049","Alternanthera nodiflora","1049_RIV"
"Amaranthus deflexus","Z","NSS",NA,"1053","Amaranthus deflexus","1053_NSS"
"Tetragonia moorei","C","RIV",NA,"10540","Tetragonia moorei","10540_RIV"
"Amaranthus hybridus","Z","RIV",NA,"1055","Amaranthus hybridus","1055_RIV"
"Cerastium vulgare","Z","MON",NA,"10550","Cerastium vulgare","10550_MON"
"Muehlenbeckia tuggeranong","A","SEH",NA,"10551","Muehlenbeckia tuggeranong","10551_SEH"
"Phyllanthus maderaspatensis","A","BBS",NA,"10562","Phyllanthus maderaspatensis","10562_BBS"
"Viola fuscoviolacea","A","MON",NA,"10565","Viola fuscoviolacea","10565_MON"
"Viola fuscoviolacea","A","SEH",NA,"10565","Viola fuscoviolacea","10565_SEH"
"Cardamine microthrix","B","NSS",NA,"10568","Cardamine microthrix","10568_NSS"
"Amaranthus macrocarpus","C","BBS",NA,"1057","Amaranthus macrocarpus","1057_BBS"
"Amaranthus macrocarpus","B","NSS",NA,"1057","Amaranthus macrocarpus","1057_NSS"
"Amaranthus macrocarpus","C","RIV",NA,"1057","Amaranthus macrocarpus","1057_RIV"
"Amaranthus mitchellii","B","BBS",NA,"1058","Amaranthus mitchellii","1058_BBS"
"Philotheca difformis","B","BBS",NA,"10582","Philotheca difformis","10582_BBS"
"Philotheca difformis","B","NSS",NA,"10582","Philotheca difformis","10582_NSS"
"Amaranthus powellii","Z","NSS",NA,"1060","Amaranthus powellii","1060_NSS"
"Baloskion australe","A","MON",NA,"10605","Baloskion australe","10605_MON"
"Baloskion australe","A","SEH",NA,"10605","Baloskion australe","10605_SEH"
"Amaranthus retroflexus","Z","BBS",NA,"1062","Amaranthus retroflexus","1062_BBS"
"Rytidosperma nudiflorum","C","MON",NA,"10638","Rytidosperma nudiflorum","10638_MON"
"Amaranthus viridis","Z","BBS",NA,"1064","Amaranthus viridis","1064_BBS"
"Cullen cinereum","A","RIV",NA,"10668","Cullen cinereum","10668_RIV"
"Cullen microcephalum","A","MON",NA,"10671","Cullen microcephalum","10671_MON"
"Cullen microcephalum","A","NSS",NA,"10671","Cullen microcephalum","10671_NSS"
"Cullen microcephalum","A","SEH",NA,"10671","Cullen microcephalum","10671_SEH"
"Cullen patens","A","BBS",NA,"10673","Cullen patens","10673_BBS"
